price (high season),Name,Location
28.5,Alpe du Grand-Serre – La Morte,France
75,Schilthorn – Mürren/​Lauterbrunnen,Switzerland
69,Belalp – Blatten,Switzerland
10,Uludağ – Bursa,Turkey
40,Les Portes du Mont-Blanc – Combloux/​Megève le Jaillet/​La Giettaz,France
77.88,Sun Peaks,Canada
52,Civetta – Alleghe/​Selva di Cadore/​Palafavera/​Zoldo,Italy
64,Disentis,Switzerland
37,Happo-One – Hakuba,Japan
54.5,Katschberg,Austria
42,Pal/​Arinsal – La Massana (Vallnord),Andorra
72,Aletsch Arena – Riederalp/​Bettmeralp/​Fiesch Eggishorn,Switzerland
69,Flumserberg,Switzerland
61,Passo San Pellegrino/​Falcade,Italy
56,Åre,Sweden
219,Snowmass,USA
106,Fernie,Canada
66,Schmittenhöhe – Zell am See,Austria
58.5,Brévent/​Flégère (Chamonix),France
37,Kopaonik,Serbia
37,Riserva Bianca – Limone Piemonte,Italy
15,Kobla – Bohinj,Slovenia
59,Meiringen-Hasliberg,Switzerland
10,Kolasportland,Northwest Russia
35,Nozawa Onsen,Japan
10,Falakro,Greece
36,Luz Ardiden,France
44.5,Kappl,Austria
58,Saint Luc/​Chandolin (Anniviers),Switzerland
64,Pizol – Bad Ragaz/​Wangs,Switzerland
69,3 Zinnen Dolomites – Helm/​Stiergarten/​Rotwand/​Kreuzbergpass,Italy
35,Sainte-Foy-Tarentaise,France
50,Grosseck/​Speiereck – Mauterndorf/​St. Michael,Austria
50,See,Austria
33,Porté Puymorens,France
53,Obertauern,Austria
43,Aprica,Italy
47,Pila,Italy
42,Cimone – Montecreto/​Sestola/​Le Polle,Italy
31.5,Praz de Lys/​Sommand (Taninges/​Mieussy),France
110,Lake Louise,Canada
87.52,Red Mountain Resort – Rossland,Canada
26,St. Pierre de Chartreuse – Le Planolet,France
27.1,Hirmentaz/​Les Habères – Bellevaux/​Habère-Poche,France
105,Kicking Horse – Golden,Canada
79,Rinderberg/​Saanerslochgrat/​Horneggli – Zweisimmen/​Saanenmöser/​Schönried/​St. Stephan,Switzerland
37,Zao Onsen,Japan
33,Vals 3000 – Dachberg,Switzerland
99,Sunshine Village,Canada
25,Kolašin 1450/​Kolašin 1600,Montenegro
44,Evolène,Switzerland
35.5,Le Lioran,France
32.5,Guzet,France
70,Adelboden/​Lenk – Chuenisbärgli/​Silleren/​Hahnenmoos/​Metsch,Switzerland
32,Bonneval sur Arc,France
30.3,Molines-en-Queyras/​Saint-Véran,France
42,Peyragudes,France
55,Großglockner Resort Kals-Matrei,Austria
