price (high season),Name,Location
33,Marble Mountain – Steady Brook (Humber Valley),Canada
48.5,Oberjoch (Bad Hindelang) – Iseler,Germany
68.5,Sportgastein,Austria
26,Itoigawa Seaside Valley,Japan
188,Arapahoe Basin,USA
125,Brighton,USA
45.7,Feuerkogel – Ebensee,Austria
43,La Fouly,Switzerland
28,Zahmer Kaiser – Walchsee,Austria
17.3,Mont Serein/​Mont Ventoux Nord,France
33,Kubínska hoľa,Slovakia
87,Cardrona,New Zealand
36.5,La Bresse – Hohneck,France
22,Cordon,France
110,Apache,USA
45,Maverick Mountain,USA
58,Pitztal Glacier (Pitztaler Gletscher),Austria
31,Zao Eboshi,Japan
12,Savin Kuk – Žabljak,Montenegro
33,Tengendai,Japan
22,Prato Selva,Italy
115,Sierra at Tahoe,USA
16,Terre Ronde/​La Praille – Plateau d’Hauteville,France
30,San Isidro-Zona Cebolledo,Spain
37,Glenshee,United Kingdom
22.5,Chastreix – Puy de Sancy,France
30,Gressoney-Saint-Jean – Weissmatten,Italy
41.5,Vent,Austria
39,Grebenzen – St. Lambrecht,Austria
22,Chalmazel,France
39.5,Piancavallo,Italy
41,Jaun,Switzerland
49.5,Hörnerbahn – Bolsterlang,Germany
60,Sandia Peak,USA
164,Snowbasin,USA
43,Nevis Range,United Kingdom
49,Levi,Finland
49,Jenner – Schönau am Königssee,Germany
19,Vysokyy Verh – Zahar Berkut,Ukraine
40,Wendelstein – Brannenburg/​Osterhofen,Germany
57,Špindlerův Mlýn,Czech Republic
52,Tandådalen/​Hundfjället (Sälen),Sweden
35,Campitello Matese,Italy
39,Kläppen,Sweden
38,Rofan – Maurach,Austria
35,Horní Domky – Lysá Hora,Czech Republic
32,Spiazzi di Gromo,Italy
37,Kranjska Gora,Slovenia
198,Stowe,USA
39.1,Hoch-Imst – Imst,Austria
6,Chindirchero,North Caucasus
43,Antillanca,Chile
152,Bear Valley,USA
30,Stari Vrh,Slovenia
65,Bromont,Canada
21,Donezan – Mijanès,France
29,Yomase/​Takaifuji (Mt. Kosha),Japan
13.4,Saint Hilaire du Touvet,France
57,Zugspitze,Germany
60,Beaver Mountain,USA
33,The Cedars,Lebanon
38,Rittner Horn (Corno del Renon) – Ritten (Renon),Italy
74,White Pass,USA
35,Ebenalp-Horn – Wasserauen/​Schwende,Switzerland
45,Tänndalen,Sweden
22.1,Laye,France
52,Lindvallen/​Högfjället (Sälen),Sweden
44,Uvdal Alpinsenter,Norway
40.5,Klippitztörl,Austria
59,Portillo,Chile
57,Roundhill – Lake Tekapo,New Zealand
43,Champex-Lac (Orsières),Switzerland
99,Dodge Ridge,USA
33,Hakodate Nanae,Japan
35,Les Rasses – Sainte-Croix,Switzerland
13,Blagodat – Belokuricha,Siberia
38,Valdesquí,Spain
12,Javornik,Slovenia
18,Adria Ski – Kupres,Bosnia and Herzegovina
53,Owl's Head,Canada
32,Schwanden – Sigriswil,Switzerland
12,Col d'Ornon,France
27,Tainai,Japan
31,Oku Kannabe,Japan
59,Fageralm – Forstau,Austria
46,Graukogel – Bad Gastein,Austria
38,Wolzenalp – Krummenau,Switzerland
22,Pescegallo – Valgerola,Italy
20,Nayoro Piyashiri,Japan
70,Silver Mountain,USA
29,Norikura,Japan
25,Herlíkovice-Bubákov,Czech Republic
20,Herzogstand – Walchensee,Germany
129,Mount Snow,USA
13,Radusa,Bosnia and Herzegovina
58,Shames Mountain,Canada
55,Zettersfeld – Lienz,Austria
28,Tateyama Sanroku – Gokurakuzaka/​Raicho Valley,Japan
43,Vichères (Liddes),Switzerland
25,Alpe Teglio – Prato Valentino,Italy
35,Mijoux/​La Faucille,France
41,Branäs,Sweden
13,Kukisvumchorr,Northwest Russia
43,Obertilliach – Golzentipp,Austria
31,Hodaigi Resort – Minakami,Japan
35,Stryn Skisenter,Norway
80,Coronet Peak,New Zealand
34,Bielmonte,Italy
30,Brusson – Estoul,Italy
18,Kreuzberg – Bischofsheim an der Rhön,Germany
39,Harpefossen,Norway
158,Solitude,USA
18,Dobrinishte,Bulgaria
21,Passy Plaine Joux,France
35,Ruzomberok Skipark,Slovakia
21,Hautacam,France
58,Grouse Mountain,Canada
70,Mt. Spokane,USA
35,Sunnmørsalpane Skiarena Fjellseter,Norway
39,Spitzingsee-Tegernsee,Germany
119,Hunter Mountain,USA
115,Arizona Snowbowl,USA
57,Pebble Creek,USA
48,Rauland Skisenter/​Holtardalen,Norway
15,Asahidake,Japan
45.5,Präbichl – Vordernberg,Austria
18,Pustevny – Trojanovice,Czech Republic
58,Geilo,Norway
47,Caviahue,Argentina
27,Iizuna Resort,Japan
27,Vallter 2000,Spain
32.5,Karwendel Bergbahn (Zwölferkopf) – Pertisau,Austria
29,Sky Valley,Japan
43,Hochficht,Austria
129,Loon Mountain,USA
43.5,Ötscher – Lackenhof (Gaming),Austria
56,Ehrwalder Wettersteinbahnen – Ehrwald,Austria
49,Arctic Valley,USA
34,Corno alle Scale – Lizzano in Belvedere,Italy
184,Crystal Mountain (WA),USA
39,Steibis – Imberg (Oberstaufen),Germany
35,Koralpe,Austria
22,Prati di Tivo,Italy
25,Olimpica – Borșa,Romania
119,Bretton Woods,USA
149,Sugar Bowl,USA
154,Mt. Rose,USA
21,Jäckvik,Sweden
35,Kellerjoch – Schwaz,Austria
89,Powderhorn,USA
27,Nomugi Pass – Nomugitoge,Japan
80,Wanfeng – Tonghua,China
27,Forsteralm – Waidhofen an der Ybbs,Austria
24,Ani – Mt. Moriyoshi,Japan
33,Davos/​Taro (Sugadaira Kogen),Japan
53,Zuoz – Pizzet/​Albanas,Switzerland
32,Weinebene – Frantschach-Sankt Gertraud,Austria
115,China Peak,USA
39,Riksgränsen,Sweden
66,Willamette Pass – Crescent,USA
59.5,Filzmoos,Austria
25,Sapporo Kokusai – Jozankei Kogen,Japan
29.5,Crêt-Béni/​La Combe – La Chapelle d'Abondance,France
125,Grand Targhee,USA
89,Bromley Mountain,USA
34,Trillevallen,Sweden
31,Shirao (temporarily closed),Japan
11,Orlovka,Kyrgyzstan
14,Vlašić,Bosnia and Herzegovina
37,Fjällby – Björkliden,Sweden
49,Černá hora – Janské Lázně,Czech Republic
32,Pilsko – Korbielów,Poland
23,Krasiya,Ukraine
72,Powder King,Canada
38,Hündle/​Thalkirchdorf (Oberstaufen),Germany
66,Lookout Pass,USA
33,Gålå,Norway
55,Mt. Lyford,New Zealand
31,Heutal – Unken,Austria
18,Mont Saxonnex,France
148,Sundance,USA
93,Nakiska,Canada
31,Breitenberg/​Hochalpe – Pfronten,Germany
42,Sattel – Hochstuckli,Switzerland
19,Les Plans d'Hotonnes,France
12,Maseben – Langtaufers (Vallelunga),Italy
45,Turner Mountain,USA
63,Hovden,Norway
31,Cogne – Gran Paradiso,Italy
33,Aeschiried,Switzerland
30,Yabuhara Kogen,Japan
41,Fendels,Austria
28,Chamois,Italy
22,Dwie Doliny – Wierchomla Mała/​Szczawnik (Piwniczna-Zdrój/​Muszyna),Poland
18,Font d'Urle – Chaud Clapier,France
23,Azuga,Romania
43,Schatzalp – Strela,Switzerland
32,Osorno,Chile
59,Pajarito Mountain,USA
51,Massif du Sud,Canada
23,Șureanu,Romania
45,Ofterschwang/​Gunzesried – Ofterschwanger Horn,Germany
37,Altopiano di Brentonico – Polsa/​San Valentino,Italy
33,Cerkno,Slovenia
38,Kittelfjäll,Sweden
46,Söllereck – Oberstdorf,Germany
145.44,Perisher,Australia
16,Arsgora,Far Eastern Federal District
29,Hyper Bowl Tohachi,Japan
104,Attitash Mountain Resort,USA
30,Zaarour,Lebanon
43,Le Mont Grand-Fonds,Canada
43.5,Hochkar – Göstling,Austria
45,Harper Mountain,Canada
58,Manning Park,Canada
27,Königsberg – Hollenstein an der Ybbs,Austria
95,Santa Fé,USA
49,Malbun,Liechtenstein
28,Schwefelberg – Badmatte/​Louigrat (temporarily closed),Switzerland
24,Zieleniec,Poland
88,Brundage Mountain,USA
41,Hlíðarfjall – Akureyri,Iceland
15,Col de Porte,France
41,Tyin-Filefjell,Norway
27,Onikoube,Japan
26,Alpe Devero – Baceno,Italy
27,Recoaro Mille (temporarily closed),Italy
49,Axalp ob Brienz,Switzerland
44,Troll Resort – Quesnel,Canada
68,Radstadt/​Altenmarkt,Austria
12,Stoderzinken – Gröbming,Austria
38,Inawashiro,Japan
46,Brunni – Engelberg,Switzerland
67,Sunlight Mountain,USA
22,Buron – Wertach,Germany
33,Marunuma Kogen,Japan
28,Scanno – Monte Rotondo,Italy
27,Star Spur Ryokufu Resort Hida Nagareha,Japan
43,Tusten – Molde,Norway
36,Rüschegg-Eywald – Lischboden,Switzerland
29,Doganaccia 2000 – Cutigliano,Italy
65,Stoneham,Canada
37,Målselv Fjellandsby,Norway
29,Aizu Kogen Takahata,Japan
79,Mt. Shasta Ski Park,USA
158,June Mountain,USA
62,Galsterberg – Pruggern,Austria
28,Pescasseroli,Italy
96,Gunstock,USA
46,Cerro Bayo,Argentina
10,Skorušina,Slovakia
42,Røldal,Norway
59,Soldier Mountain,USA
87,Treble Cone,New Zealand
59,Catinaccio/​Ciampedie – Vigo di Fassa/​Pera di Fassa,Italy
15,Hatsvali – Mestia,Georgia
129,Stevens Pass,USA
33,Pine Ridge Resort – Kandatsu,Japan
28,Aizu Kogen Nango,Japan
41,Yakebitaiyama,Japan
27,Puerto Navacerrada,Spain
35,Yubari Resort – Mount Racey,Japan
31,Minowa,Japan
26,Campo Catino,Italy
41,Hallingskarvet,Norway
12.5,La Jarjatte – Lus-la-Croix-Haute,France
35,Geto Kogen,Japan
40,Eikedalen,Norway
33,Domobianca,Italy
35,Kouty nad Desnou,Czech Republic
45,Cherry Peak,USA
45.5,Ramsau am Dachstein – Rittisberg,Austria
9,Novososedovo,Siberia
41,Yokoteyama-Shibutoge,Japan
22,Pippu,Japan
42,Hochrindl – Sirnitz,Austria
39,Grimmialp,Switzerland
27,Ramzová-Bonera – Šerák,Czech Republic
27,Lagunillas,Chile
86,Tūroa – Mt. Ruapehu,New Zealand
23,Czarna Góra – Sienna,Poland
15,Węgierski – Brenna,Poland
20,Isafjördur,Iceland
45,Ramundberget,Sweden
42,Mörlialp – Giswil,Switzerland
44,Skeikampen – Gausdal,Norway
20,Jeunesse Kurikoma,Japan
19.5,Adelharz- and Breitensteinlifts – Kranzegg (Rettenberg),Germany
22,Pintura – Bolognola,Italy
22,Hidaka Kokusai,Japan
38,Grandeco Snow Resort,Japan
23,Transalpina – Vidra/​Voineasa,Romania
21,Owani Onsen,Japan
50,Showdown,USA
31,Borgafjäll,Sweden
99,Wildcat Mountain,USA
13,Bleymard Mont Lozère,France
39,Romme Alpin,Sweden
28,Hakuba Norikura,Japan
38,Ørsta Skisenter,Norway
28,San Simone (Brembo Ski) (temporarily closed),Italy
36,LeMelette – Gallio,Italy
28,Lac Blanc,France
31,Smokey Mountain,Canada
44,Vrådal,Norway
56,Biberwier – Marienberg,Austria
118,Mt. Buller,Australia
158,Eldora Mountain,USA
27,Grand Sunpia Inawashiro,Japan
44,La Forclaz,Switzerland
33,Winghills Shirotori Resort,Japan
33,Hirnkopf – Flattnitz (Glödnitz),Austria
114,Pico Mountain,USA
28,Charmant Hiuchi,Japan
12,Romme – Nancy-sur-Cluses,France
38,Sauda Skisenter,Norway
29,Sun Alpina Sanosaka,Japan
27,L'Abbaye,Switzerland
22,Camurac,France
43,Krinnenalpe – Nesselwängle,Austria
41,Rosswald – Brig,Switzerland
99,Bolton Valley,USA
44,Oeschinensee – Kandersteg,Switzerland
48,Mount Timothy,Canada
40,Dolní Morava – Králický Sněžník,Czech Republic
36,Rogla,Slovenia
144,Windham Mountain,USA
27,Sonnberglifts – Wald am Schoberpass (temporarily closed),Austria
71,Mount Hermon – Neve Ativ,Israel
35,Etna Nord – Linguaglossa,Italy
50,Watles – Malles Venosta (Mals),Italy
33,Todtnauberg,Germany
24,Chateau Shiozawa,Japan
53,Klövsjö/​Storhogna,Sweden
59.5,Gerlosstein,Austria
29,Manganui – Mount Taranaki,New Zealand
31,Mont Lac-Vert – Hébertville,Canada
32,Idre Himmelfjäll,Sweden
33,Utopia Saioto,Japan
27,Fuentes de Invierno,Spain
79,Magic Mountain,USA
39,Las Araucarias/​Llaima – Vilcún,Chile
102,Waterville Valley,USA
29,Blanche Takayama,Japan
41,Marbach – Marbachegg,Switzerland
27,Frontignano 360 – Ussita,Italy
50,Blacktail Mountain,USA
47,Tärnaby,Sweden
29,Tramelan,Switzerland
99,Cranmore Mountain Resort,USA
40,Mount Cain,Canada
30,Cerreto Laghi,Italy
50,Mont Blanc,Canada
27,Jaworzyna Krynicka,Poland
38,Kranzberg – Mittenwald,Germany
36,Javalambre,Spain
30,Hörnle – Bad Kohlgrub,Germany
18,Selvarotonda – Cittareale,Italy
29,Białka Tatrzańska – Kotelnica/​Kaniówka/​Bania,Poland
38,Sogn Skisenter,Norway
58,Purden,Canada
61,Mont Sutton,Canada
43,Tjørhomfjellet/​Ålsheia Skisenter – Sirdal,Norway
18,Le Chazelet,France
69,Titus Mountain,USA
28,Le Pâquier – Crêt-du-Puy,Switzerland
38,Monte Pora,Italy
44,Fjätervålen,Sweden
20,Garéssio 2000,Italy
28,Kaida Kogen Mia,Japan
35,Donovaly (Park Snow),Slovakia
43,Neunerköpfle – Tannheim,Austria
41,San Vito di Cadore,Italy
25,Sassotetto – Santa Maria Maddalena,Italy
34,Pin Rouge,Canada
22,Menthières,France
9,Salma,Northwest Russia
34,Emberger Alm – Berg im Drautal,Austria
31,Mont Comi,Canada
32,Avers,Switzerland
32,Crabbe Mountain,Canada
15,Ski Kraljica – Kupres,Bosnia and Herzegovina
29,Aizu Kogen Daikurayama,Japan
22,Šachtičky,Slovakia
59,Sommet Saint-Sauveur,Canada
29,Mottarone,Italy
23,Croce d’Aune – Monte Avena,Italy
40,Skiland – Mt. Aurora,USA
32,Gassan – Nishikawa,Japan
25,Oberaudorf – Hocheck,Germany
31,Asahi Tengston,Japan
33,Bumbach (Schangnau),Switzerland
34,Mont La Réserve – Saint-Donat-de-Montcalm,Canada
45,Füssener Jöchle – Grän,Austria
26,Götschen – Bischofswiesen,Germany
89,Donner Ski Ranch,USA
56,Duved/​Tegefjäll,Sweden
45,Planneralm – Donnersbach,Austria
29,Muntele Mic,Romania
37,Lagorai/​Passo Brocon – Castello Tesino,Italy
35,Feldis,Switzerland
29,Shimokura Area – Hachimantai,Japan
35,Hassela,Sweden
45,Bigrock Mountain,USA
32,Ještěd – Liberec,Czech Republic
20,Forca Canapine (temporarily closed),Italy
25,Bear Paw Ski Bowl,USA
19,Bazora – Gurtis/​Frastanz,Austria
28,Monte Amiata,Italy
36,Vassfjellet – Klæbu/​Trondheim,Norway
29,Neusell – Rothenthurm-Biberegg,Switzerland
31,Antuco Ski Center,Chile
36,Arber,Germany
30,Big Squaw,USA
39.5,Zauberberg Semmering,Austria
33,Kope,Slovenia
62,Eaglecrest – Juneau,USA
19,Chanavey,Italy
15,Valgrisenche,Italy
40,Passo Rolle (Rolle Pass),Italy
25,Hidafunayama Snow Resort Arkopia,Japan
28.7,Le Noirmont (Jura sur Léman),France
26,Muica,Japan
39.5,Annaberg,Austria
17,Le Gaschney – Petit Hohneck,France
99,Saddleback,USA
27,Kusatsu Onsen,Japan
32,Tabor Mountain,Canada
29,Štrbské Pleso,Slovakia
24,Skalka,Slovakia
21,Tornik – Zlatibor,Serbia
37,Salzstiegl – Hirschegg,Austria
30,Schia – Monte Caio,Italy
37,Veľká Rača,Slovakia
81,Thaiwoo,China
39.5,Kristberg – Silbertal,Austria
38,Wurmberg – Braunlage,Germany
24,Telgárt,Slovakia
35,Etna South – Nicolosi,Italy
20,Grand-Ballon,France
42,Winterberg (Skiliftkarussell),Germany
19,Arnsberg,Germany
32,Dundret Lapland – Gällivare,Sweden
20,Careggine – Alpi Apuane (Monte la Cima),Italy
17,Hiraniwa Kogen,Japan
32,Zinkenlifte – Dürrnberg (Hallein),Austria
27,Dent de Vaulion – Le Morez,Switzerland
25,Śnieżka – Karpacz,Poland
44,Hodlekve – Sogndal,Norway
12,Mont Ventoux Sud,France
34,Willingen – Ettelsberg,Germany
35,Temple Basin,New Zealand
39,Les Paccots/​Châtel-St-Denis – Corbetta,Switzerland
23,Ventron (temporarily closed),France
37,Schwabenbergarena – Turnau,Austria
29,Yunomaru,Japan
28,Monte Terminillo,Italy
14,Schuttannen – Hohenems,Austria
51,La Grave – La Meije,France
68,Mt. Norquay – Banff,Canada
46,Jeizinen Feselalp – Gampel/​Steg,Switzerland
39,Fichtelberg – Oberwiesenthal,Germany
51.5,Passo dello Stelvio (Stelvio Pass),Italy
43,Hohentauern,Austria
53,Vemdalsskalet,Sweden
55,Pine Creek,USA
30,Bláfjöll,Iceland
30,Münstertal-Wieden,Germany
20,Le Markstein,France
28.7,La Serra (Jura sur Léman),France
52,Antelope Butte,USA
30,Val d'Irène,Canada
42,Niederhorn – Beatenberg,Switzerland
42,Fideriser Heuberge – Arflina,Switzerland
38,Nesselwang – Alpspitze (Alpspitzbahn),Germany
55,Engstligenalp – Adelboden,Switzerland
23,Mount Jeans Nasu,Japan
93,Holiday Valley,USA
24,Piazzatorre,Italy
37.5,Karkogel – Abtenau,Austria
38,Mont Orignal – Lac Etchemin,Canada
36,Edsåsdalen,Sweden
33,Okuibuki,Japan
12,Schnifisberg – Schnifis,Austria
114,Mt. Sunapee,USA
44,Haukelifjell Skisenter,Norway
75,Heidbodme – Saas-Almagell,Switzerland
38,Jungholz,Austria
53,Björnrike,Sweden
34,Kiental (temporarily closed),Switzerland
42,Grong,Norway
119,Falls Creek,Australia
29,Minakami Kogen,Japan
18,Cascada Cailor – Borșa,Romania
31,Blåsjön – Mesklumpen,Sweden
19,Laguiole,France
20,Monte Sirino,Italy
43,Schattwald/​Zöblen,Austria
41,Okushiga Kogen,Japan
31,Rossberg – Oberwil,Switzerland
29,Pine Beak (Sugadaira Kogen),Japan
27,Dragobrat,Ukraine
25,Jochgrimm (Passo Oclini),Italy
115,Mt. Baldy,USA
40,Skagahøgdi – Gol,Norway
46,Nesfjellet – Nesbyen,Norway
42,Auronzo di Cadore – Monte Agudo,Italy
10,Davegor,Siberia
18,Clearwater,Canada
28,Gambarie d'Aspromonte,Italy
22,Pleta del Prat – Tavascan,Spain
105,Snow Valley,USA
41,Ål Skisenter,Norway
20,Bald Mountain,USA
16,Makov,Slovakia
27,Ciao Ontake Snow Resort,Japan
37.5,Valdelinares (Sierra de Gúdar),Spain
16,Čertov – Javorníky,Slovakia
44,Bürgeralpe – Mariazell,Austria
33,Hunter Mountain Shiobara,Japan
59,Tenney Mountain (temporarily closed),USA
20,Le Revard,France
37.5,Serles – Mieders,Austria
31,Wunderwiese – Puchberg am Schneeberg,Austria
137,Snowshoe Mountain,USA
20,Asahimura Budo,Japan
25,Majelletta,Italy
61,Padola – Ski Area Comelico,Italy
33,Kötschach-Mauthen – Vorhegg,Austria
29,Nekoma,Japan
26,Kijimadaira (Mt. Kosha),Japan
23,Almåsa,Sweden
32,Buková hora – Čenkovice/​Červená Voda,Czech Republic
55,Sipapu,USA
29.5,Laber – Oberammergau,Germany
26,Moiwayama Ski Jo,Japan
90,Cooper,USA
18,Španov vrh,Slovenia
35,Plešivec – Abertamy,Czech Republic
15,Marsia – Tagliacozzo (temporarily closed),Italy
20,La Féclaz,France
32,Kolbensattel – Oberammergau,Germany
15,Le Sappey en Chartreuse,France
97,Lutsen Mountains,USA
36,Meråker Alpinsenter,Norway
31,Manba,Japan
19,Holtanlia,Norway
203,Buttermilk Mountain,USA
18,Iwakisan Hyakuzawa,Japan
53,Baranci (Haunold) – San Candido (Innichen),Italy
39.5,Pallas,Finland
19,Goulier,France
24,Skarðsdalur – Siglufjörður,Iceland
87,Pleasant Mountain,USA
24,Paseky nad Jizerou,Czech Republic
32,Fujimi Panorama,Japan
20,Ca et là Ski Resort Oze (temporarily closed),Japan
15,Mézenc – Les Estables,France
57,TschentenAlp – Adelboden,Switzerland
10,Col du Granier,France
35,Simonhöhe – St. Urban,Austria
49,Pec pod Sněžkou,Czech Republic
36,Hochhäderich – Hittisau,Austria
35,Golte,Slovenia
25,Manzaneda,Spain
90,Eagle Point,USA
19.5,Ballon d'Alsace,France
27,Sollegg – Appenzell,Switzerland
31,Nalovardo,Sweden
14,Ostrakina – Mainalon,Greece
98,Red River,USA
49,Nordic Valley,USA
79,Wispile – Gstaad,Switzerland
138,Bear Mountain – Big Bear Lake,USA
22,Itsukamachi,Japan
33,Moiwa,Japan
29.5,Heidialm Skipark – Falkert,Austria
21,Mratkino – Beloretsk,Volga Federal District
29,Storlien,Sweden
69,Porters,New Zealand
29,Numajiri,Japan
25,Hida Kawai,Japan
19.5,Prat Peyrot – Mont Aigoual,France
32,Mont Miller,Canada
36,Brunnalm/​Hohe Veitsch – Veitsch (St. Barbara im Mürztal),Austria
33,Mont Béchervaise,Canada
34,Hochfelln – Bergen,Germany
42,Tahko,Finland
20.3,Pfänder – Bregenz (temporarily closed),Austria
38,Lemonsjø Alpinsenter (Jotunheimen),Norway
34,Rigi – Scheidegg/​Burggeist,Switzerland
34,Ratzi – Spiringen,Switzerland
32,Poley Mountain,Canada
30,Imajyo 365,Japan
15,Paluda – Dalaas,Austria
16,Saint-Pacôme (temporarily closed),Canada
21,Mala Lučivná,Slovakia
41,Camp Fortune,Canada
24,Echo Valley,Japan
50,Teton Pass,USA
34,Belle Neige,Canada
13,Sljeme (Medvednica) – Zagreb,Croatia
39,Valdres Alpinsenter,Norway
29,Roháče – Spálená,Slovakia
47.5,Monte Popolo – Eben im Pongau,Austria
54,Bears Town,South Korea
29,Praděd/​Myšák – Malá Morávka (Ski Karlov),Czech Republic
24,Yamaboku – Yamada Bokujo,Japan
22,Leitariegos,Spain
19,Piane di Mocogno,Italy
33,Schilt – Mollis,Switzerland
89,Pats Peak,USA
55,Craigieburn,New Zealand
35,Minakami Okutone,Japan
30,Bachledova/​Jezersko/​Frankova,Slovakia
34,Le Relais – Lac Beauport,Canada
22.5,Rossfeld – Berchtesgaden-Oberau,Germany
95,Belleayre Mountain,USA
29,Tegelberg – Schwangau,Germany
32,Dombås,Norway
10,Pleše – Podkonice,Slovakia
34,Mont Garceau,Canada
119,The Summit at Snoqualmie,USA
53,Dartmouth Skiway,USA
22,Plejsy – Krompachy,Slovakia
43,Mont Ste-Marie,Canada
24,Gače,Slovenia
26,Wapiti Ski Hill – Elkford,Canada
38,Mount Sima,Canada
35,Habkern – Sattelegg,Switzerland
135.1,Mount Hotham,Australia
19,Schnepfenried,France
26,Usséglio – Pian Benot,Italy
20,Camigliatello Silano,Italy
34,Oddsskarð,Iceland
41,Hochkeil am Hochkönig,Austria
85,Bristol Mountain,USA
22,Plai,Ukraine
13.4,Col de Marcieu – Saint Bernard du Touvet,France
47,Sommet Olympia,Canada
75,Butternut,USA
42.5,Faschina (Fontanella),Austria
35,Atzmännig – Goldingen,Switzerland
24,Meander Skipark – Oravice,Slovakia
55,Mt. Abram,USA
16.5,Čičmany – Javorinka,Slovakia
30,Rieseralm – Obdach,Austria
25,Suhara,Japan
99,Camelback,USA
25,Monte Bue – Santo Stefano d'Aveto,Italy
21,Stafdalur,Iceland
44,Oslo – Tryvann (Skimore),Norway
18,Le Tanet,France
19,Fačkovské sedlo,Slovakia
49,Mount Olympus,New Zealand
20,Fujino Healthland Kokusai,Japan
24,Zao Sumikawa,Japan
24,Buchenberg – Buching (Halblech),Germany
22,Soriška Planina,Slovenia
36,Gaaler Lifte – Gaal,Austria
129,Monarch,USA
36,Arena Overøye – Stordal,Norway
36,Mont Cascades,Canada
18,Hochplatte – Marquartstein (temporarily closed),Germany
29,Hohenbogen – Neukirchen bei Hl. Blut,Germany
8,Zliechov (temporarily closed),Slovakia
49,Broken River Ski Field,New Zealand
14,Taiheizan Opus,Japan
24,Passolanciano,Italy
66,Terry Peak,USA
28,Skálafell,Iceland
18,Arrakis – Žacléř-Prkenný Důl,Czech Republic
20,Mont Bélu,Canada
35,Bichlalm,Austria
27,Wakabuna Kogen,Japan
41,Ichinose Family Resort,Japan
32,Grasgehren – Bolgengrat,Germany
33,Shirakaba 2in1,Japan
38,Čertova hora – Harrachov,Czech Republic
26,Galtis – Arjeplog,Sweden
138,Snow Summit – Big Bear Lake,USA
35,Volda Skisenter,Norway
49.5,Ruka,Finland
36,Špičák,Czech Republic
99,Ragged Mountain,USA
29,Rathvel – Châtel-St-Denis,Switzerland
18,Mouthe – Massif du Noirmont,France
29,Vallefura Pescocostanzo,Italy
28,Spieserlifte – Unterjoch,Germany
35,Ålen Skisenter,Norway
21,St. Mary,Japan
100,Mountain Creek – Vernon,USA
17,Canmore Ski Village – Higashikawa,Japan
31,Oze Tokura,Japan
29,Silver Summit,Canada
38,Niederalpl – Mürzsteg (Neuberg an der Mürz),Austria
18,Wachtberglifts – Weyregg am Attersee,Austria
11,Les Bagenelles – Sainte-Marie-aux-Mines,France
45,Tännäskröket,Sweden
16,Snegorka,Far Eastern Federal District
22,Skipark Racibor – Oravský Podzámok,Slovakia
70,Hoodoo Ski Area,USA
12,Agriolefkes – Pelion,Greece
79,Blue Mountain,USA
29,Altastenberg,Germany
28,Belchen,Germany
15.5,Pont d'Espagne – Cauterets,France
53,Welli Hilli Park,South Korea
23,Ochsenkopf,Germany
37,Megahira Onsen Megahira,Japan
35,Mont Adstock,Canada
12,Cherry Hill – Saratov,Russia
26,Jiigatake,Japan
38,Jølster Skisenter,Norway
24,Unternberg (Ruhpolding),Germany
79,Wasserngrat – Gstaad,Switzerland
17,Gugel – Mlynky,Slovakia
24,Les Breuleux,Switzerland
10,Lokve (temporarily closed),Montenegro
24,Dogoyama Kogen,Japan
15,Javorový Vrch – Třinec,Czech Republic
33,Sun Meadows,Japan
31,Vall de Núria,Spain
17,Brameloup – Saint-Chély-d’Aubrac,France
38,Elfer – Neustift,Austria
10,Brusnica – Fojnica,Bosnia and Herzegovina
64,Mt. Ashland,USA
62,Craigleith Ski Club,Canada
14,Vranča,Czech Republic
26,Seeberg – Seewiesen (Turnau),Austria
17,Kyowa,Japan
85,Burke Mountain,USA
27,Ammarnäs,Sweden
22,Eck-Riedelstein – Arrach,Germany
32,Bjursås Ski Center,Sweden
35,Hanmer Springs,New Zealand
20,Pancíř,Czech Republic
28,Benecko,Czech Republic
30,Geißkopf – Bischofsmais,Germany
27,Pilatus Tateshina,Japan
48,Pyhä,Finland
60,Pomerelle,USA
16,Studenov,Czech Republic
22,Soszów – Jawornik (Wisła),Poland
47,Morin Heights,Canada
29,Svanstein,Sweden
40,Schetteregg – Egg,Austria
46,Suomu,Finland
20,Hanawa – Kazuno,Japan
45,Funäsdalsberget,Sweden
32,Eggberge – Altdorf,Switzerland
27,Greenpia Tsunan,Japan
10,Le Désert d'Entremont,France
30,Edelweiss,Japan
31,Wirzweli – Dallenwil,Switzerland
24,Salmo Ski Hill,Canada
25,Zum Zeri – Passo dei due Santi,Italy
60,Loup Loup Ski Bowl,USA
30,Cerro Mirador – Punta Arenas,Chile
23,Raggal,Austria
13,Gubałówka – Zakopane,Poland
59,Sleeping Giant,USA
34,Sollifjellet,Norway
20,Hoislifts – Modriach (Edelschrott),Austria
64,Snowy Range,USA
21,Val Neigette,Canada
14,Malyovitsa,Bulgaria
36,Selital – Schwarzenbühl,Switzerland
16,Bučník – Polomka,Slovakia
39,Monte Verena – Mezzaselva di Roana,Italy
28,Springenboden,Switzerland
24,Eremo di Monte Carpegna,Italy
42,Jöchelspitze – Bach,Austria
18.5,Rouge Gazon,France
44,Kongsberg (Skimore),Norway
16,Bačova Roveň – Vyšná Boca,Slovakia
24.5,Hochwechsellifts – Mönichwald,Austria
32,Awakino,New Zealand
18,Madarasi Hargita,Romania
15,Malo Polje – Igman,Bosnia and Herzegovina
